top: failed tty get
   PID TTY          TIME CMD
247370 ?        00:00:00 slurm_script
247373 ?        00:00:00 ps
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.0 191448  4412 ?        Ss   Nov22   0:20 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root          2  0.0  0.0      0     0 ?        S    Nov22   0:01 [kthreadd]
root          4  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/0:0H]
root          6  0.0  0.0      0     0 ?        S    Nov22   0:04 [ksoftirqd/0]
root          7  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/0]
root          8  0.0  0.0      0     0 ?        S    Nov22   0:00 [rcu_bh]
root          9  0.0  0.0      0     0 ?        S    Nov22   9:07 [rcu_sched]
root         10  0.0  0.0      0     0 ?        S<   Nov22   0:00 [lru-add-drain]
root         11  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/0]
root         12  0.0  0.0      0     0 ?        S    Nov22   0:03 [watchdog/1]
root         13  0.0  0.0      0     0 ?        S    Nov22   0:02 [migration/1]
root         14  0.0  0.0      0     0 ?        S    Nov22   0:06 [ksoftirqd/1]
root         16  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/1:0H]
root         18  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/2]
root         19  0.0  0.0      0     0 ?        S    Nov22   0:01 [migration/2]
root         20  0.0  0.0      0     0 ?        S    Nov22   0:03 [ksoftirqd/2]
root         24  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/3]
root         25  0.0  0.0      0     0 ?        S    Nov22   0:01 [migration/3]
root         26  0.0  0.0      0     0 ?        S    Nov22   0:08 [ksoftirqd/3]
root         28  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/3:0H]
root         29  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/4]
root         30  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/4]
root         31  0.0  0.0      0     0 ?        S    Nov22   0:06 [ksoftirqd/4]
root         33  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/4:0H]
root         34  0.0  0.0      0     0 ?        S    Nov22   0:05 [watchdog/5]
root         35  0.0  0.0      0     0 ?        S    Nov22   0:03 [migration/5]
root         36  0.0  0.0      0     0 ?        S    Nov22   0:06 [ksoftirqd/5]
root         38  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/5:0H]
root         39  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/6]
root         40  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/6]
root         41  0.0  0.0      0     0 ?        S    Nov22   0:08 [ksoftirqd/6]
root         44  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/7]
root         45  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/7]
root         46  0.0  0.0      0     0 ?        S    Nov22   0:06 [ksoftirqd/7]
root         49  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/8]
root         50  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/8]
root         51  0.0  0.0      0     0 ?        S    Nov22   0:06 [ksoftirqd/8]
root         53  0.0  0.0      0     0 ?        S<   Nov22   0:01 [kworker/8:0H]
root         54  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/9]
root         55  0.0  0.0      0     0 ?        S    Nov22   0:00 [migration/9]
root         56  0.0  0.0      0     0 ?        S    Nov22   0:09 [ksoftirqd/9]
root         57  0.0  0.0      0     0 ?        S    Nov22   0:00 [kworker/9:0]
root         58  0.0  0.0      0     0 ?        S<   Nov22   0:00 [kworker/9:0H]
root         59  0.0  0.0      0     0 ?        S    Nov22   0:02 [watchdog/10]
root         60  0.0  0.0      0     0 ?        S    Nov22   0:02 [migration/10]
root         61  0.0  0.0      0     0 ?        S    Nov22   0:07 [ksoftirqd/10]
